town,candidate_number,votes,region_code,candidate,region,link,town_code,votes_percentage
Lvov,6,9,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=804&xokrsek=37,1000037,38.46
Lvov,9,4,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=804&xokrsek=37,1000037,30.76
Doněck,6,1,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=804&xokrsek=38,1000038,20.00
Doněck,9,4,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=804&xokrsek=38,1000038,40.00
Londýn,6,63,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=826&xokrsek=39,1000039,5.16
Londýn,9,681,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=826&xokrsek=39,1000039,61.56
Bělehrad,6,14,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=688&xokrsek=40,1000040,5.26
Bělehrad,9,25,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=688&xokrsek=40,1000040,36.84
Kišiněv,6,2,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=498&xokrsek=41,1000041,11.11
Kišiněv,9,8,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=498&xokrsek=41,1000041,55.55
Skopje,6,3,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=807&xokrsek=42,1000042,16.66
Skopje,9,10,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=807&xokrsek=42,1000042,50.00
